-1.1184,0.9649,0.0206,-0.1004,1.9492,0.5011,1.0777,-0.8047,1.7958,-1.9779
-0.6516,1.5356,-1.1679,0.5431,0.6884,0.7664,0.5719,-1.3611,1.2170,1.4034
0.1178,-0.1517,0.9596,1.1244,0.6236,-1.5332,0.5204,-1.2177,0.2813,-1.6667
-0.3547,-1.2733,0.4050,-1.0103,-0.7941,1.4352,-1.6950,0.9503,0.8586,-1.2536
1.1000,-0.2158,1.0772,1.1815,1.2596,0.0931,0.0906,1.7783,0.6885,-0.1662
0.3827,0.9412,0.4696,1.7067,0.4130,0.3671,-0.0175,1.8854,1.4269,1.3734
-0.8244,-0.4509,-1.3842,-1.6627,0.3653,0.2267,-0.6887,0.7029,-1.8184,0.6079
-1.9559,-0.7606,-0.1793,-1.7015,0.0958,0.7193,0.2691,1.4587,1.5064,1.7651
-0.8795,0.8927,0.6352,-0.3539,1.1361,-1.0947,-0.2537,1.4050,1.4018,1.9714
1.2111,1.8156,0.1508,0.8938,0.8324,-1.2135,-1.0390,-0.4898,0.0473,0.2811
